"Уч.ц. 1",Уч.ц. 2,,,,,,,,,,,,,,,,,,,,,,,,
"День недели",Время | Группа,ГНГ-18-1,ГНГ-18-2,МГП-18,РГГ-18,РГИ-18,РМ-18,РФ-18,НГД-18-1,НГД-18-10,НГД-18-2,НГД-18-3,НГД-18-12,НГД-18-4,НГД-18-6,НГД-18-7,НГД-18-5,НГД-18-8,НГД-18-9,НГД-18-11,НГС-18-1,НГС-18-2,РТ-18,ТНГ-18-1,ТНГ-18-2
"П
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","I  Физика
А  с  с  .   Е  г  о  р  о  в  а    А   .Ю. пр. No712
_  _  _  _  _  _  _  _  _ _  _  _  _  _  _  _  _  _  _  _  _","_____________________

II История развития нефтегазовой
отрасли

Доц. Шайдуров В.Н. пр. No611","Физическая культура
( 3.09 - 17.09 )
Элективные дисциплины по
физической культуре и спорту
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -  1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   3  . 0  9   -   1  7  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 17.9 - 24.12 )",,,,"I  Математика
Доц. Лебедев И.А. пр. No516
_____________________
II Математика
Доц. Лебедев И.А. пр. No546","I  История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No640
_____________________","История развития нефтегазовой
отрасли
Асс. Подольский О.И. No636",,"______________
I I   И стория
Доц. Лейберов А.И. пр. No639","Физическая культура
(  3  . 0  9   -  1  7  .09 )
Э  л   е  к т  и  в  ные дисциплины по
физической культуре и спорту
( 17.9 - 24.12 )","Н   а ч  е  р   т а  т  е  л  ь  н  а  я   г  е  о  м  е  т  р  и  я   и
и   н  ж енерная графика
Д   о  ц  .   Л  е  в  а  ш   о  в   Д   . С  .  п   р  .  No    7  2 1","Начертательная геометрия и

инженерная графика
Доц. Судариков А.Е. пр. No722"

"",15.55-17.20,"I Общая геология
Проф. Таловина И.В. No832
____________________","I Общая геология
П  р  о  ф   .   Т   а  л  о  в  и  н  а    И   . В  .   No    8  3  2
____________________
II 1/2 Общая геология
Асс. Илалова Р.К. л/р No550",,,"1/2 Физика
Доц. Фицак В.В. л/р No235,236,713","I  Общая геология
Проф. Таловина И.В. No832
_____________________",,,,,"Математика
Доц. Гончар Л.И. пр. No513","История развития нефтегазовой
отрасли
Асс. Подольский О.И. No636",,,,,,,"1/2 Информатика
Доц.Быкова О.Г.
л/р No337",,,,,

"",17.30-19.00,,,,,,,,,,,,,,,,,,,,,,,,

"В
Т
О
Р
Н
И
К",8.50-10.20,"Математика
Доц. Могилева Л.М. пр. No826","Математика
Доц. Пастухова Е.В. пр. No519","Физика

Доц. Левин К.Л. л/р No236
Доц. Гужва М.Е. л/р No235,712","1/2 Химия элементов и их
соединений
Доц. Згонник П.В. л/р
I - No815   II - No843","1/2 Общая геология
А   с с  .  Илалова Р.К. л/р No550",,,"Физика
Доц. Прошкин С.С. No326","Информатика
Асс. Цветков П.С. л/р No316
Асс. Кочнева А.А. л/р No315","I  История
Доц. Шайдуров В.Н. No633
____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","I  История
Доц. Шайдуров В.Н. No633
____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","I  История
Доц. Шайдуров В.Н. No633
____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","Математика
Доц. Лебедев И.А. пр. No512","I  История
Асс. Подольский С.И. пр. No612
____________________
II Русский язык и культура речи
Проф. Щукина Д.А. пр. No609","I  Русский язык и культура речи
Проф. Щукина Д.А. пр. No609
II История
Асс. Подольский С.И. пр. No612","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Фоломкин А.И. пр. No710
Асс. Чупин С.А. пр. No726","Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610","Физика
Доц. Прошкин С.С. No326","Физика
Доц. Прошкин С.С. No326",,,,,

"",10.35-12.05,"Физика
Доц. Шарихина Ю.В. No828","Физика
Доц. Шарихина Ю.В. No828","Информатика
Доц. Пивоварова И.И. No633","Информатика
Доц. Пивоварова И.И. No633","Информатика
Доц. Пивоварова И.И. No633","Физика
Доц. Шарихина Ю.В. No828","1/2 Инженерная графика
Доц. Левашов Д.С. пр. No711","Информатика
Асс. Крыльцов С.Б. л/р No316
Асс. Кочнева А.А. л/р No315","Физика
Доц. Иванов А.С. No347","История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No611","История
Асс. Подольский С.И. пр. No612","Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609","Начертательная геометрия и
инженерная компьютерная

графика
Доц. Янкилевич С.В. пр. No726
Асс. Кононов П.В. пр. No710","Математика
Доц. Бакеева Л.В. No536","Математика
Доц. Бакеева Л.В. No536","Математика
Доц. Бакеева Л.В. No536","Физика
Доц. Иванов А.С. No347","История
Доц. Лейберов А.И. пр. No613","История
Доц. Рудник С.Н. пр. No715",,,"История освоения
земных недр
Доц. Леушева Е.Л. No623",,

"",12.35-14.05,"1/2 Информатика
Асс. Сарапулова Т.В.
л/р No336",,"История
Доц. Волошинова И.В. No640","1/2 Информатика
Доц. Пивоварова И.И. л/р No345
1/2 Общая геология
Асс. Илалова Р.К. л/р No550","История
Доц. Мокеев А.Б. пр. No622","История
Доц. Волошинова И.В. No640","Химия
Доц. Лобачёва О.Л. л/р No843
Доц. Джевага Н.В. л/р No840","_____________________
II Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609","I  Русский язык и культура речи
Асс. Дмитриева М.Н. пр. No610","Физика
Доц. Смирнова Н.Н. пр. No712","Начертательная геометрия и
инженерная компьютерная
графика
Доц. Судариков А.Е. пр. No710
Асс. Кононов П.В. пр. No726",,"И   с  т  ория развития нефтегазовой
отрасли
Проф. Афанасьев В.Г. пр. No611","Информатика
Асс. Цветков П.С. л/р No315
Асс. Кочнева А.А.  л/р No316","История развития нефтегазовой
отрасли
Асс. Подольский С.И. пр. No612","_____________________
II Математика
Доц. Ивакин В.В. пр. No513",,"_____________________
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No613",,"Начертательная геометрия и
инженерная графика
Доц. Меркулова В.А. пр. No711
Доц. Левашов Д.С. пр. No721",,"История освоения
земных недр
Доц. Леушева Е.Л. пр. No623","Геология
Доц.Тутакова А.Ю. л/р No549","Информатика
Доц. Водкайло Е.Г. л/р No319"

"",14.15-15.45,"1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей
II 1/2 Общая геология
Асс. Илалова Р.К. л/р No550",,"I  1/2 Общая геология
Асс. Илалова Р.К. л/р No550

_____________________","История
Доц. Мокеев А.Б. No518","История
Доц. Мокеев А.Б. No518","1/2 Информатика
Доц. Овчинникова Е.Н. л/р No336","Геология
Доц. Ляхницкий Ю.С. No640",,,,,,,,,,,,,"История
Доц. Шайдуров В.Н. пр. No613","Информатика
Асс. Сарапулова Т.В.
Доц. Сибирев В.Н.
л/р No345, No424","Г  е  о  л  огия
Д  о  ц   .  Л  я  х  н  и  ц  к  и  й    Ю   . С   .  No    6  4  0","Информатика
Доц. Катунцов Е.В. л/р No319","Геология
Асс. Колядина А.И. л/р No549"

"",15.55-17.20,,,,"I 1/2 Общая геология
Асс. Илалова Р.К. л/р No550","_____________________
II 1/2 Общая геология
Асс. Илалова Р.К. л/р No550","1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей",,,,,,,,,,,,,,"I  Информатика
Доц. Катунцов Е.В. No624
II Начертательная геометрия и
инженерная графика
Доц. Меркулова В.А. No624","I  Информатика
Доц. Катунцов Е.В. No624
II Начертательная геометрия и
инженерная графика
Доц. Меркулова В.А. No624",,"I  Информатика
Доц. Катунцов Е.В. No624
II Начертательная геометрия и
инженерная графика
Доц. Меркулова В.А. No624","I  Информатика
Доц. Катунцов Е.В. No624
II Начертательная геометрия и
инженерная графика
Доц. Меркулова В.А. No624"

"",17.30-19.00,,,,,,,,,,,,,,,,,,,,,"1/2 Геология
Доц. Тутакова А.Я.
л/р No549",,,

"С
Р
Е
Д
А",8.50-10.20,"Физика
Проф. Сырков А.Г. л/р No236
Доц. Фицак В.В. л/р No235,712","1/2 Физика
Асс.Егорова А.Ю.
л/р No235,236,413","I  История

Доц. Волошинова И.В. No612

II Общая геология
Доц. Цинкобурова М.Г. No526","_________________
II Общая геология
Доц. Цинкобурова М.Г. No526","I  1/2 Общая геология
Асс. Илалова Р.К. л/р No550
II Общая геология
Доц. Цинкобурова М.Г. No526","Химия элементов и их соединений
Доц. Згонник П.В. л/р No840
Доц. Джевага Н.В. л/р No843",,"I  Иностранный язык
Доц. Герасимова И.Г. пр. No838
Доц. Гончарова М.В. пр. No230
(немецкий язык)","I  Иностранный язык
Ст.пр. Щетинина А.Т. пр. No821
II История
Асс. Подольский С.И.пр. No612",,"Информатика
Асс. Цветков П.С. л/р No316
Асс. Кочнева А.А. л/р No315","1/2 Начертательная геометрия и
инженерная компьютерная
графика
Доц. Фоломкин А.И. пр. No722","_____________________

II Русский язык и культура речи
Доц. Згурская О.Г. No640","I  Иностранный язык
Ст.пр. Ионова В.Н.No904
Ст.пр. Спиридонова В.А.
пр.No831
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","I  Иностранный язык
Ст.пр. Ионова В.Н. пр.No904

Доц. Навицкайте Э.А. No834
II История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. No633","I  Иностранный язык
Доц. Гоман Ю.В.  пр. No715
II Русский язык и культура речи
Доц. Згурская О.Г. No640","I  Иностранный язык
Преп. Гагарина О.Ю. пр. No905
Доц. Глазун М.А. пр. No813
_____________________","I  Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No830
Доц. Чувилева Н.В. пр. No822
_____________________","I  Иностранный язык
Ст.пр. Мурзо Ю.Е. пр. No830
Доц. Чувилева Н.В. пр. No822
_____________________","I  Иностранный язык
Преп.Ферман Е.К. No629
Доц. Пец Ю.В. пр. No803
II Философия
Доц. Рахманинова М.Д. пр. No524","I  Иностранный язык
Преп.Ферман Е.К. No629
Доц. Пец Ю.В. пр. No803","Математика
Доц. Гончар Л.И. пр. No513","I  Иностранный язык
Доц. Картер Е.В. No1005
Преп. Никифоровская Е.О.
пр. No1004","I  Иностранный язык
Доц. Бугреева Е.А. пр.  No716
Д  о  ц  . Картер Е.В. No1005
Преп. Никифоровская Е.О.
пр. No1004"

"",10.35-12.05,"История
Доц. Мокеев А.Б. пр. No826","1/2 Информатика
Асс. Сарапулова Т.В. л/р No719","Физика
Доц. Гужва М.Е. No326","Физика
Доц. Гужва М.Е. No326","Физика
Доц. Гужва М.Е. No326","Физика
Доц. Шарихина Ю.В. л/р No236
Доц. Фицак В.В. л/р No235,714","Химия
Доц. Лобачёва О.Л. No820","Физическая культура
( 5.09 - 12.09 )
Элективные дисциплины по
физической культуре и спорту
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -  1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Информатика

Доц. Муста Л.Г. No333","Информатика
Доц. Муста Л.Г. No333","Информатика
Доц. Муста Л.Г. No333","Русский язык и культура речи
Доц. Згурская О.Г. пр. No609","Физическая культура
( 5.09 - 12.09 )
Элективные дисциплины по
физической культуре и спорту
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -  1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -   1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й    к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )","Химия

Доц. Лобачёва О.Л. No820","Физическая культура
(   5  . 0  9   -   1  2  . 0  9   )
Элективные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   культуре и спорту
( 19.9 - 26.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   5  . 0  9   -  1  2  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 19.9 - 26.12 )"

"",12.35-14.05,"Общая геология
Проф. Таловина И.В. No832","Общая геология
Проф. Таловина И.В. No832","1/2 Информатика
Доц. Пивоварова И.И. л/р No515","История
Доц. Мокеев А.Б. пр. No639","1/2 Химия элементов и их
соединений
Доц. Згонник П.В. л/р
I - No840    II - No843
1/2 Информатика   л/р
Доц. Овчинникова Е.Н. No643","Общая геология
Проф. Таловина И.В. No832","Математика
Доц. Гончар Л.И. пр. No513","Информатика
Доц. Катунцов Е.В. No333","Математика
Проф. Перегудин С.И. пр. No512","История
Асс. Подольский С.И. пр. No612","Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609","Физика
Доц.Грабовский А.Ю.
пр. No312","И  н   ф   о  р  м  а  т  и  к  а
Доц. Катунцов Е.В. No333","Физика
Проф. Сухомлинов В.С. пр. No713","Русский язык и культура речи
Проф. Щукина Д.А. пр. No610","Информатика
Асс. Цветков П.С. л/р No315
Асс. Кочнева А.А. л/р No316","История развития нефтегазовой
отрасли
Доц. Шайдуров В.Н. пр. No611","Начертательная геометрия и
инженерная компьютерная
графика
Доц.Янкилевич С.В. пр. No710
Асс. Чупин С.А. пр. No726","I История
Доц. Рудник С.Н. пр. No303
_________________
II Русский язык и культура речи
Асс. Степушина О.В. пр. No303","Математика

Доц. Мансурова С.Е. No624","Математика
Доц. Мансурова С.Е. No624","1/2 Геология
Асс. Агеев А.С. л/р No550
1/2 Информатика
Доц. Кротова С.Ю. л/р No337","Математика
Доц. Мансурова С.Е. No624","Математика
Доц. Мансурова С.Е. No624"

"",14.15-15.45,,"1/2 Химия элементов и их
соединений
Доц.Лобачева О.Л. л/р No842
II 1/2 Общая геология
Асс. Илалова Р.К. л/р No528","1/2 Общая геология
Д  о   ц  .  Д  у  р  я  г  и  н  а    А  . М   .  л   / р
No    Г  о  р  н  ы   й   м   узей","Физика
Д  о   ц  .  Ф   и  ц  а  к   В  . В   .  л  / р    No    2  3  5  , 4  1  5
Доц. Гужва М.Е. л/р No236",,,"1/2 Геология
Асс. Агеев А.С. л/р No550
1/2 Информатика
Доц. Кротова С.Ю. л/р No337","Начертательная геометрия и
инженерная компьютерная
графика
Асс. Чупин С.А. пр. No726
Асс. Кононов П.В. пр. No710",,"Русский язык и культура речи
Доц. Егоренкова Н.А. пр. No609","Физика
Доц. Смирнова Н.Н. пр. No712","История
Доц. Волошинова И.В. пр. No639","I  История
Доц. Мокеев А.Б. пр. No611
_  _  _  _  _  _  _  _ _  _  _  _  _  _  _  _  _  _  _  _  _","История
Асс. Подольский С.И. пр. No612","Физика
Проф. Сухомлинов В.С. пр. No713","I  Математика
Доц. Ивакин В.В. пр. No523
____________________
II История
Доц. Мокеев А.Б. пр. No611","Физика
Доц. Иванов А.С. пр. No714","Математика
Проф. Перегудин С.И. пр. No512","I Русский язык и культура речи
Асс. Степушина О.В. пр. No409
__________________","История
Доц. Шайдуров В.Н. No633","История
Доц. Шайдуров В.Н. No633",,"История
Доц. Шайдуров В.Н. No633","История
Доц. Шайдуров В.Н. No633"

"",15.55-17.20,"I  1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей","1/2 Общая геология
Асс. Илалова Р.К. л/р No550",,,,"_____________________
II 1/2 Общая геология
Доц. Дурягина А.М. л/р
NoГорный музей",,,,,,,,,,,,,,,,,,

"",17.30-19.00,,,,,,,,,,,,,,,,,,,,,,,,

"Ч
Е
Т
В
Е
Р
Г",8.50-10.20,"Физическая культура
( 6.09 - 13.09 )
Элективные дисциплины по
физической культуре и спорту
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -  1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
ф   и  з  и  ч  е  с  к  о  й   к  у  л  ь  т  у р   е   и   с  п  о  р  т  у
( 20.9 - 27.12 )","Ф   и  з  и  ч  е  с  к  а  я   культура
(   6  . 0  9   -   1  3  . 0  9   )
Э  л  е  к  т  и  вные дисциплины по
